name,side_effects
abvida-m 50mg/1000mg eazy glide tablet,"hypoglycemia (low blood glucose level),trembling,headache,dizziness,nausea"
acamprol tablet,"diarrhea,abdominal pain,nausea,vomiting,decreased libido"
ace proxyvon th 4 tablet,"nausea,vomiting,heartburn,stomach pain,diarrhea"
ace-proxyvon cr tablet,"nausea,flatulence,indigestion,diarrhea,constipation"
acetik-hc ear drop,"application site reactions (burning, irritation, itching and redness)"
acidose 500mg tablet,"stomach cramp,flatulence"
aciloc injection,"headache,diarrhea,gastrointestinal disturbance"
acnay gel,"skin peeling,dry skin,erythema (skin redness),burning sensation at the site of application"
acnedap plus gel,"skin irritation,itching,burning sensation at the site of application,erythema (skin redness),dryness"
acnesol 1% solution,"application site reactions (burning, irritation, itching and redness),skin rash,stomach pain,nausea,vomiting"
acnesol a nano gel,"skin peeling,erythema (skin redness),itching,dry skin,burning sensation at the site of application"
acnetor ad gel,"skin peeling,erythema (skin redness),itching,dry skin,burning sensation at the site of application"
act nvp tablet,"dryness in mouth,constipation,lightheadedness,drowsiness"
adhair 2% solution,"itching,headache,hypertrichosis (excessive hair growth),rash,dermatitis"
aditop c gel,"skin peeling,erythema (skin redness),itching,dry skin,burning sensation at the site of application"
adp 5mg tablet,"headache,fatigue,nausea,abdominal pain,sleepiness"
advog 0.3 tablet,"skin rash,flatulence,abdominal pain,diarrhea"
af 400 tablet,"headache,nausea,stomach pain"
afogatran 110 capsule,"nausea,anemia (low number of red blood cells),gastrointestinal bleeding,dyspepsia,diarrhea"
airz capsule,"runny nose,sore throat,upper respiratory tract infection"
airz-ff capsule,"runny nose,sore throat,upper respiratory tract infection"
alecloz 180 tablet,"headache,drowsiness,dizziness,nausea"
alerid syrup,"nausea,headache,muscle pain,edema (swelling),sleepiness"
alersin-total tablet sr,"nausea,upset stomach,dryness in mouth,headache,fatigue"
alevo 500 tablet,"headache,dizziness,nausea,constipation,diarrhea"
alex cough lozenges sugar free,"sleepiness,dizziness,confusion,nausea"
alex plus paediatric oral drops,"vomiting,headache,restlessness,anxiety,dizziness"
alex syrup,"nausea,vomiting,loss of appetite,headache"
alex syrup sugar free,"nausea,vomiting,loss of appetite,headache"
alfoo 10mg tablet pr,"upper respiratory tract infection,dizziness,headache,nausea,abdominal pain"
alkamed syrup,"stomach pain,tiredness,diarrhea,nausea,vomiting"
alkepin odt 50mg tablet,"dizziness,fainting,constipation,fever,weight gain"
allegra 180mg tablet,"headache,drowsiness,dizziness,nausea"
alphadol 1mcg soft gelatin capsule,"rash,itching,abdominal pain,increased calcium level in blood,increased calcium in urine"
alpostin 500mcg injection,"apnea (absence of breathing),fever"
altapan-dsr capsule,"diarrhea,stomach pain,flatulence,dryness in mouth,dizziness"
ambrolite cold syrup,"vomiting,nausea,upset stomach"
amcard-lp tablet,"sleepiness,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk),dizziness"
amcrylate bio-adhesive,limited data available
amiodar 200 tablet,"lung damage,tachycardia,congestive cardiac failure,increased liver enzymes"
amlodac t 40 mg/5 mg tablet,"sleepiness,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk),dizziness"
amlokem m 5/50 tablet,"nausea,slow heart rate,abdominal pain,dizziness,fatigue"
amlong a-25 tablet,"sleepiness,headache,ankle swelling,flushing (sense of warmth in the face, ears, neck and trunk),slow heart rate"
amlong-a tablet,"sleepiness,headache,ankle swelling,flushing (sense of warmth in the face, ears, neck and trunk),slow heart rate"
amlopres 2.5 tablet,"headache,fatigue,nausea,abdominal pain,sleepiness"
amlosafe-ls 5/5 tablet,"ankle swelling,headache,tiredness,palpitations,increased potassium level in blood"
amloz at 25 tablet,"sleepiness,headache,ankle swelling,flushing (sense of warmth in the face, ears, neck and trunk),slow heart rate"
amoreal cream,"blisters on skin,nail disorder,skin irritation,skin rash,erythema (skin redness)"
amoxyclav 375 tablet,"vomiting,nausea,diarrhea"
amrolstar cream,"blisters on skin,nail disorder,skin irritation,skin rash,erythema (skin redness)"
amucoe nac tablet,"vomiting,heartburn,stomach pain,upset stomach,rash"
anaflam xp 100mg/325mg tablet,"nausea,vomiting,stomach pain/epigastric pain,loss of appetite,heartburn"
anclazide-m tablet,"hypoglycemia (low blood glucose level),headache,nausea,dizziness,diarrhea"
angispan - tr 2.5mg capsule,"blurred vision,decreased blood pressure,dizziness,headache,increased heart rate"
angiwell 2.6mg tablet,"blurred vision,decreased blood pressure,dizziness,headache,increased heart rate"
angizaar 25 tablet,"dizziness,decreased blood pressure,hypoglycemia (low blood glucose level),increased potassium level in blood,increased blood urea"
aprezo 20 tablet,"diarrhea,nausea,vomiting"
aquasol a capsule,no common side effects seen
aquazide 12.5 tablet,"headache,nausea,altered blood lipid level,weakness,dizziness"
aquim pf eye drop,limited data available
arifine 2.5 tablet,"akathisia (inability to stay still),anxiety,blurred vision,constipation,dizziness"
arigaba nt 100 tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
ark 100mg tablet sr,"edema (swelling),nausea,headache,dizziness,vomiting"
arophyll hd 10mg/120mg/200mg tablet,"nausea,vomiting,diarrhea,rash,increased white blood cell count"
arvast 40 tablet,"muscle pain,weakness,headache,abdominal pain,dizziness"
ascoril flu drops,"vomiting,headache,restlessness,anxiety,dizziness"
asmygaba-m tablet,"dizziness,sleepiness,tiredness,uncoordinated body movements"
asmygaba-nt tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
asthagrip dm tablet,"nausea,vomiting,stomach pain,diarrhea,dryness in mouth"
asthakind-p drops,"excessive salivation,fatigue,paresthesia (tingling or pricking sensation),stomach discomfort,arrhythmia (irregular heartbeats)"
asthalin 100mcg inhaler,"tachycardia,tremors,headache,palpitations,increased heart rate"
asthalin plus expectorant,"nausea,vomiting,diarrhea,upset stomach,stomach pain"
asthalin respules,"tachycardia,tremors,headache,palpitations,increased heart rate"
asunra 400mg tablet,"nausea,headache,vomiting,rash,abdominal pain"
atchol-asp capsule,"abdominal pain,constipation,flatulence,increased liver enzymes,hepatitis (viral infection of liver)"
atm 200 oral suspension,"vomiting,nausea,abdominal pain,diarrhea"
atorec-f tablet,"nausea,stomach pain,constipation,flatulence,headache"
auradex 4mg tablet,"cardiovascular complications,metabolic disorder,infection,hiccup,decreased sperm count"
avastin 400mg injection,"rectal bleeding,taste change,headache,nosebleeds,back pain"
axcer  90mg tablet,"bleeding,breathlessness"
axunil nasal spray,"nasal irritation,headache,nosebleeds"
azee 1000 tablet,"vomiting,nausea,abdominal pain,diarrhea"
azee 200mg dry syrup,"vomiting,nausea,abdominal pain,diarrhea"
azicip 500 tablet,"vomiting,nausea,abdominal pain,diarrhea"
azmarda 50mg tablet,"dizziness,increased potassium level in blood,fatigue,hypotension (low blood pressure)"
azobril cream,"application site reactions (burning, irritation, itching and redness)"
aztor 40 tablet,"dyspepsia,abdominal pain,indigestion,diarrhea,joint pain"
azulix 1 mf forte tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
azulix 4 mf forte tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
azulix mv 2/0.2 tablet sr,"nausea,diarrhea,abdominal pain,hypoglycemia (low blood glucose level)"
babygesic 125 oral suspension,"indigestion,stomach pain,nausea,vomiting"
benadryl syrup,"stomach pain/epigastric pain,dizziness,sleepiness,impaired coordination,thickened respiratory tract secretions"
bencid tablet,"nausea,diarrhea,loss of appetite"
beta 50mg tablet,"cold extremities,fatigue,slow heart rate,nausea,diarrhea"
betacap tr 40 capsule,"tiredness,weakness,raynaud's phenomenon,arrhythmia (irregular heartbeats),nausea"
betagel,"reduction in bone density,upset stomach"
betnesol oral drops,"reduction in bone density,upset stomach"
bidin ls eye drop,"eye itching,allergic reaction in eye,conjunctival hyperemia,follicular conjunctivitis,dryness in mouth"
bigomet sr 500 tablet,"diarrhea,nausea,vomiting,flatulence"
bioclar 250mg tablet,"abdominal pain,diarrhea,headache,nausea,taste change"
biodens hair lotion,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
biodib 15 tablet,"hypoglycemia (low blood glucose level),edema (swelling),upper respiratory tract infection,bronchitis (inflammation of the airways),anemia (low number of red blood cells)"
biopron 4mg tablet,"dizziness,headache"
boostrix vaccine,"headache,injection site redness,pain,swelling,weakness"
brezvent-ls cough syrup,"nausea,vomiting,diarrhea,upset stomach,stomach pain"
bro-zedex ls drops,"vomiting,diarrhea,excessive salivation,fatigue,headache"
d flour tablet,"allergic skin rash,upset stomach"
d-gen 2k softgel capsule,no common side effects seen
defcort 18 tablet,"increased appetite,weight gain,frequent urge to urinate,cushing syndrome,cough"
dencross scalp lotion,"application site reactions (burning, irritation, itching and redness)"
dentogel liquid,no common side effects seen
depranex 5 tablet,"anorgasmia (decreased orgasm) in women,decreased libido,delayed ejaculation,fatigue,increased sweating"
dericip retard 150 tablet pr,"nausea,vomiting,headache,restlessness"
deriphyllin injection,"nausea,vomiting,headache,restlessness"
deriphyllin tablet,"nausea,vomiting,headache,restlessness"
dermitop lotion,"stinging sensation,headache,sore throat,itching,nosebleeds"
deys milk of magnesia liquid ice cream,"diarrhea,stomach cramp"
dianorm 80mg tablet,"hypoglycemia (low blood glucose level),weight gain,flatulence,diarrhea,headache"
diapride m 0.5mg/500mg tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
digecaine oral gel fruit punch sugar free,"constipation,diarrhea,allergic reaction"
digihaler sf 250 inhaler,"headache,cough,upper respiratory tract infection,nasopharyngitis (inflammation of the throat and nasal passages),sinus inflammation"
dilnip-trio tablet,"ankle swelling,headache,dizziness,tiredness,palpitations"
dimol 40 tablet,"coating on tongue,diarrhea,dehydration"
dinace 2.5 tablet,"dryness in mouth,nausea,vomiting,constipation,blurred vision"
diproex er 250 tablet,"headache,dizziness,blurred vision,weakness,abdominal pain"
divalpro xr 250 tablet,"headache,dizziness,blurred vision,weakness,abdominal pain"
diziron d tablet md,"drowsiness,headache,stomach pain,dryness in mouth"
doberol capsule,"skin rash,fever,nausea,vomiting"
dobutam 250mg injection,"high blood pressure,insomnia (difficulty in sleeping)"
dolcet-al tablet,"upset stomach,dryness in mouth,headache,fatigue,sleepiness"
dolcet-al tablet,"upset stomach,dryness in mouth,headache,fatigue,sleepiness"
dolowin-sr tablet,"dizziness,indigestion,nausea,abdominal pain,increased liver enzymes"
donecept m tablet,"nausea,vomiting,loss of appetite,diarrhea,headache"
doxoril 650 tablet sr,"headache,nausea,vomiting,upset stomach"
dr 4 tablet,"nausea,diarrhea,constipation,heartburn,indigestion"
duoclin-b gel,"erythema (skin redness),skin peeling,dryness,burning sensation,itching"
e-vir tablet,"headache,nausea,rash,vomiting,fatigue"
ebal 20 tablet,"sleepiness,headache,dryness in mouth"
ebernet lot,"application site reactions (burning, irritation, itching and redness)"
ebspor cream,"application site reactions (burning, irritation, itching and redness)"
ed save tablet,"flushing (sense of warmth in the face, ears, neck and trunk),headache,blurred vision,muscle pain,upset stomach"
eflo 0.1% eye ointment,"eye irritation,burning sensation,watery eyes"
efnocar 20 tablet,"headache,palpitations,hot flushes,flushing of face"
eldicet tablet,"abdominal pain,difficulty in swallowing"
elfolin plus tablet,"acne,skin reaction,itching"
eltroxin 75mcg tablet,"palpitations,vomiting,anxiety,diarrhea,flushing (sense of warmth in the face, ears, neck and trunk)"
embeta xr 50 tablet,"fatigue,headache,slow heart rate,dizziness,nausea"
emeset 4 tablet,"constipation,diarrhea,fatigue,headache"
emeset 8 tablet,"constipation,diarrhea,fatigue,headache"
emeset injection 2ml,"injection site pain,constipation,diarrhea,fatigue,headache"
enam 10 tablet,"decreased blood pressure,cough,increased potassium level in blood,fatigue,weakness"
encelax syrup,"cramps,abdominal distension,flatulence"
enclex 40 injection,"bleeding,headache,low blood platelets,increased liver enzymes"
enoxatroy 40mg injection,"bleeding,headache,low blood platelets,increased liver enzymes"
enpred eye drop,"eye irritation,burning sensation,watery eyes"
enzigest 25000 capsule,"stomach pain,bloating,diarrhea"
enzoflam sv  tablet,no common side effects seen
enzoflam-ct tablet,limited data available
epilive 500 tablet,"sleepiness,dizziness,fatigue,headache,decreased appetite"
episert cream,"application site reactions (burning, irritation, itching and redness),skin irritation"
epival tablet,"headache,dizziness,blurred vision,nausea,vomiting"
eptoin injection,"rash,headache,dizziness,vomiting,nausea"
eritel-ch 80 tablet,"dizziness,back pain,sinus infection,diarrhea,skin ulcer"
escitalent 5 tablet,"anorgasmia (decreased orgasm) in women,decreased libido,delayed ejaculation,fatigue,increased sweating"
esiflo 250 transhaler,"headache,cough,upper respiratory tract infection,nasopharyngitis (inflammation of the throat and nasal passages),sinus inflammation"
esiflo 500 transcaps,"headache,cough,upper respiratory tract infection,nasopharyngitis (inflammation of the throat and nasal passages),sinus inflammation"
eslo-tel 2.5mg tablet,"sleepiness,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk),dizziness"
esmozole dsr capsule,"diarrhea,flatulence,stomach pain,dryness in mouth,headache"
esofag 40 tablet,"headache,dizziness,dryness in mouth,nausea,abdominal pain"
espidase 10mg tablet,no common side effects seen
espin-at tablet,"headache,nausea,tiredness,sleepiness,dizziness"
ethamcip 500 tablet,"skin rash,vomiting,headache,nausea,diarrhea"
etoford 90 tablet,"oral ulcer,bronchospasm,increased liver enzymes,esophagitis,stomach pain"
etoford mr 60mg/4mg tablet,"diarrhea,stomach pain,indigestion,flatulence,swelling of hands"
etogesic er tablet,"visual disturbance,vomiting,stomach pain/epigastric pain,nausea,indigestion"
etoriflex-mr4 tablet,"diarrhea,stomach pain,indigestion,flatulence,swelling of hands"
etoroxi 120 tablet,"stomach pain,diarrhea"
etosys-mf tablet,"nausea,vomiting,heartburn,indigestion,diarrhea"
etova 200 tablet,"visual disturbance,vomiting,stomach pain/epigastric pain,nausea,indigestion"
etova-mr 400/4 tablet,"nausea,vomiting,heartburn,stomach pain/epigastric pain,loss of appetite"
eubri eye drop,limited data available
euclide m 60 od tablet er,"hypoglycemia (low blood glucose level),headache,nausea,dizziness,diarrhea"
eurepa 1 tablet,"upper respiratory tract infection,headache,hypoglycemia (low blood glucose level)"
eurepa-v 1/0.3 tablet,"hypoglycemia (low blood glucose level),abdominal pain,diarrhea,flatulence,upper respiratory tract infection"
eutropin 4iu injection,"injection site reactions (pain, swelling, redness),headache,rash"
evadiol tablet,"headache,nausea,breast pain,abdominal cramp,bloating"
evict oral solution,"abdominal pain,nausea,vomiting,diarrhea"
excex gel,"skin peeling,erythema (skin redness),itching,dry skin,burning sensation at the site of application"
exermet gm forte 2 tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
extralast tablet,"drowsiness,nausea,tremors,vomiting,dizziness"
eyemac eye drop,"eye irritation,burning eyes,eye discomfort,eye itching,eye pain"
ezanic 20% cream,"application site reactions (burning, irritation, itching and redness)"
fabiflu tablet,"increased uric acid level in blood,diarrhea,decreased white blood cell count (neutrophils),increased liver enzymes"
fapvir tablet,"increased uric acid level in blood,diarrhea,decreased white blood cell count (neutrophils),increased liver enzymes"
feboxa 80 tablet,"diarrhea,headache,increased liver enzymes,nausea,skin rash"
febrex 500mg tablet,"stomach pain,nausea,vomiting"
febs tablet,"diarrhea,headache,increased liver enzymes,nausea,skin rash"
febuset 80 tablet,"diarrhea,headache,increased liver enzymes,nausea,skin rash"
fenceta plus 100mg/162.5mg suspension,"nausea,vomiting,abdominal pain,heartburn,diarrhea"
fenixa 180 tablet,"headache,drowsiness,dizziness,nausea"
fevago ds suspension,"indigestion,stomach pain,nausea,vomiting"
fever-x tablet,"stomach pain,nausea,vomiting"
fexolife 180 tablet,"headache,drowsiness,dizziness,nausea"
fiasp 100iu/ml solution for injection,"hypoglycemia (low blood glucose level),auto-antibody formation,headache,nasopharyngitis (inflammation of the throat and nasal passages),upper respiratory tract infection"
fibator 20 tablet,"nausea,stomach pain,constipation,flatulence,headache"
fiberlact granules,"bloating,stomach cramp,flatulence"
fibricor injection,"nausea,vomiting,taste change,slow heart rate,constipation"
finap tablet,"decreased libido,erectile dysfunction,ejaculation disorder"
fintrix tablet,"headache,diarrhea,rash,indigestion,abnormal liver enzyme"
flosoft eye drop,"eye irritation,burning sensation,watery eyes"
flucold af oral drops,"vomiting,headache,restlessness,anxiety,dizziness"
flucos 400mg tablet,"headache,nausea,stomach pain"
flucos dt 50 tablet,"headache,nausea,stomach pain"
flumet 200mg tablet,"headache,nausea,stomach pain"
folitrax 7.5mg injection,"abdominal pain,indigestion,loss of appetite,nausea,vomiting"
foracort 200 autohaler,"headache,nausea,vomiting,stomach discomfort,dizziness"
formonide 400 respicaps,"headache,nausea,vomiting,stomach discomfort,dizziness"
formosone 250 respicap,"headache,cough,upper respiratory tract infection,nasopharyngitis (inflammation of the throat and nasal passages),sinus inflammation"
fulviglen 250mg injection,"headache,vomiting,weakness,allergic reaction,nausea"
fungeeheal 100 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
fungicip 150mg tablet,"headache,nausea,stomach pain"
fungikem 100 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
fusiwal b cream,"application site reactions (burning, irritation, itching and redness)"
fusiwal ointment,"application site reactions (burning, irritation, itching and redness)"
fuzinix cream,"application site reactions (burning, irritation, itching and redness)"
g.b.h.c soap,"hair loss,rash,erythematous rash,drowsiness,headache"
gaba-hosit tablet,"dizziness,sleepiness,tiredness,uncoordinated body movements"
gabacure gel,"application site reactions (burning, irritation, itching and redness)"
gabaneuron nt tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
gabantip at 100 tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
gabawin 25 tablet,"blurred vision,difficulty in paying attention,dizziness,dryness in mouth,edema (swelling)"
gamma i.v. 5gm infusion,"back pain,chills,flushing (sense of warmth in the face, ears, neck and trunk),dizziness,headache"
gapitas-l gel,"application site reactions (burning, irritation, itching and redness)"
gasowel plus syrup,"chalky taste,diarrhea,constipation,allergic reaction"
gatilox dm sterile eye drops,"eye irritation,burning sensation,stinging sensation,watery eyes,blurred vision"
gb 29 1500mcg/75mg tablet sr,"dizziness,sleepiness,tiredness,uncoordinated body movements"
gcolate 1mg tablet,"dryness in mouth,nasal congestion (stuffy nose),flushing (sense of warmth in the face, ears, neck and trunk),vomiting,dizziness"
genevac-b paediatric injection,"irritation,loss of appetite,skin rash,body ache,flushing (sense of warmth in the face, ears, neck and trunk)"
gental cream,application site irritation
genteal eye drop,"blurred vision,eye irritation,eye pain,eye redness,foreign body sensation in eyes"
gepride m 1 forte tablet sr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
gepride m 3 tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
gerbisa suppository,"fainting,stomach discomfort,rectal discomfort,vomiting,bloating"
gestmate sr 200 tablet,"abdominal bloating,hot flushes,vaginal discharge,urinary incontinence,headache"
gestofit 100 soft gelatin capsule,"abdominal bloating,hot flushes,vaginal discharge,urinary incontinence,headache"
gestofit 200mg sr tablet,hot flushes
gestofit 300mg sr tablet,hot flushes
glimaday-forte 3 tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
glimchek m 2mg/500mg tablet,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
glimestar-m1 forte tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
glimiprex mf forte 1 tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
glimser-p1 tablet sr,"hypoglycemia (low blood glucose level),dizziness,headache,nausea,vomiting"
gliptagreat m 1000 tablet,"hypoglycemia (low blood glucose level),trembling,headache,dizziness,nausea"
gliptagreat m 500 tablet,"hypoglycemia (low blood glucose level),trembling,headache,dizziness,nausea"
glitaris 15 tablet,"hypoglycemia (low blood glucose level),edema (swelling),upper respiratory tract infection,bronchitis (inflammation of the airways),anemia (low number of red blood cells)"
glitaris 30 tablet,"hypoglycemia (low blood glucose level),edema (swelling),upper respiratory tract infection,bronchitis (inflammation of the airways),anemia (low number of red blood cells)"
glucobay 50 tablet,"flatulence,abdominal pain,diarrhea"
gluconorm g2 d tablet sr,"nausea,taste change,diarrhea,stomach pain,headache"
gluconorm pg 2 forte tablet sr,"hypoglycemia (low blood glucose level),dizziness,headache,nausea,vomiting"
gluconorm-g 0.5 forte tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
gluconorm-g 0.5mg/500mg tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
glucored forte 850 tablet,"nausea,vomiting,diarrhea,flatulence"
glucotim la eye drop,"burning eyes,stinging in the eyes"
glybovin 1.25mg tablet,"hypoglycemia (low blood glucose level),nausea,headache,dizziness"
glycinorm total 30 tablet sr,"hypoglycemia (low blood glucose level),dizziness,headache,nausea,vomiting"
glyciphage sr 500mg tablet,"diarrhea,nausea,vomiting,flatulence"
glycomet 250 tablet,"diarrhea,nausea,vomiting,flatulence"
glycomet tablet,"diarrhea,nausea,vomiting,flatulence"
glynase-mf tablet,"hypoglycemia (low blood glucose level),diarrhea,headache,upper respiratory tract infection"
glypride 1 tablet,"hypoglycemia (low blood glucose level),headache,nausea,dizziness"
glytrin tablet,"dizziness,headache,diarrhea,hypoglycemia (low blood glucose level),nausea"
goldclav 625 tablet,"vomiting,nausea,diarrhea"
gonal-f 300iu solution for injection,"injection site allergic reaction,headache,acne,swelling of breast in male,abdominal pain"
goodmorn tablet,"dryness in mouth,constipation,lightheadedness,drowsiness"
goodova-l tablet,"fatigue,hypercholesterolemia (high cholesterol),increased sweating,hot flashes"
grenil 5mg/250mg suspension,"diarrhea,rash,restlessness,drowsiness"
grewit 5% solution,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
gtn spray,"drowsiness,vertigo,blurred vision,decreased blood pressure,dizziness"
gudlax-plus laxative peppermint sugar free,"diarrhea,stomach pain"
halobet cream,"application site reactions (burning, irritation, itching and redness)"
halobet s ointment,"burning sensation,stinging sensation"
halotop-s lotion,"burning sensation,stinging sensation"
halox s lotion,"burning sensation,stinging sensation"
hatric syrup,"nausea,constipation,dizziness,sleepiness,fatigue"
healex plus spray,application site irritation
hepabsv 100iu injection,"flushing (sense of warmth in the face, ears, neck and trunk),gastrointestinal disturbance,headache,dizziness,injection site reactions (pain, swelling, redness)"
herpival 1000mg tablet,"headache,nausea,abdominal pain"
hexolip 500 tablet,"dizziness,flushing (sense of warmth in the face, ears, neck and trunk),headache,nausea,vomiting"
hh linctus junior syrup alcohol free,"upset stomach,sleepiness"
hh salic lotion,"itching,burning sensation,erythema (skin redness),scaling"
hh salic ointment,"itching,burning sensation,erythema (skin redness),scaling"
hh salic ointment,"itching,burning sensation,erythema (skin redness),scaling"
hhcepo-cv tablet,"nausea,diarrhea,stomach pain,headache"
hhderm cream,"itching,irritation,burning sensation at the site of application"
hicet tablet,"sleepiness,dizziness"
histacross l 10mg tablet,"sleepiness,fatigue,dryness in mouth,headache,vomiting"
histo calamine lotion,application site irritation
hp kit,"diarrhea,nausea,vomiting,stomach pain,flatulence"
huminsulin  30/70 solution for injection 40iu/ml,"hypoglycemia (low blood glucose level),injection site reactions (pain, swelling, redness),weight gain"
humog 150 injection,"headache,injection site pain,injection site allergic reaction,abdominal pain,abdominal cramp"
humog 75 hp injection,"headache,injection site pain,injection site allergic reaction,abdominal pain,abdominal cramp"
hydrazide 25 tablet,"headache,nausea,altered blood lipid level,weakness,dizziness"
hyla eye drop,limited data available
hyla fusion eye drop,limited data available
i-tyza capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
ibilul cream,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
iladac l capsule pr,"nausea,abdominal pain,constipation,diarrhea,dizziness"
imidil cream,"blisters,skin peeling,swelling,application site irritation"
iminoral 100 capsule,"headache,nausea,vomiting,increased hair growth,high blood pressure"
indclav 625 tablet,"vomiting,nausea,diarrhea"
indclav bid 228 dry syrup,"nausea,vomiting,abdominal pain,diarrhea,allergy"
inderal 20mg tablet,"tiredness,weakness,raynaud's phenomenon,arrhythmia (irregular heartbeats),nausea"
inditel mx 50 tablet er,"headache,weakness,dizziness,cold extremities,slow heart rate"
inmecin p 25mg/325mg capsule,"nausea,vomiting,loss of appetite,heartburn,stomach pain/epigastric pain"
inovas f tablet,"nausea,stomach pain,constipation,flatulence,headache"
insugen 30/70 solution for injection 40iu/ml,"hypoglycemia (low blood glucose level),injection site reactions (pain, swelling, redness),weight gain"
insugen-r 100iu/ml solution for injection,"hypoglycemia (low blood glucose level),weight gain,edema (swelling),injection site reactions (pain, swelling, redness)"
intacoxia 60mg tablet,"stomach pain,diarrhea"
intacoxia mr 60mg/4mg tablet,"diarrhea,stomach pain,indigestion,flatulence,swelling of hands"
intacoxia p 60mg/325mg tablet,"diarrhea,indigestion,stomach pain,flatulence,swelling of hands"
intaglip-m tablet,"hypoglycemia (low blood glucose level),trembling,headache,dizziness,nausea"
intasporin powder,"application site reactions (burning, irritation, itching and redness)"
intimacy plus 2 tablet,"nausea,stomach pain,headache,irregular uterine bleeding,weight gain"
ipravent respules 2ml,"headache,dizziness,throat irritation,cough,dryness in mouth"
irivisc liquigel,"eye irritation,burning eyes,eye discomfort,eye itching,eye pain"
ismo 20 tablet,"headache,dizziness,flushing (sense of warmth in the face, ears, neck and trunk),orthostatic hypotension (sudden lowering of blood pressure on standing)"
isoin 20 capsule,"dry skin,increased liver enzymes,rash"
isolin 2mg injection,"headache,palpitations,increased heart rate,flushing (sense of warmth in the face, ears, neck and trunk),restlessness"
isonorm 20 tablet,"headache,dizziness,flushing (sense of warmth in the face, ears, neck and trunk),orthostatic hypotension (sudden lowering of blood pressure on standing)"
isotroin 5 capsule,"dry skin,increased liver enzymes,rash"
isryl-m2 tablet sr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
