name,side_effects
istavel 100mg tablet,"nasopharyngitis (inflammation of the throat and nasal passages),headache,hypoglycemia (low blood glucose level),conjunctivitis,cough"
itracat 200 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
itral eye/ear drops,"irritation,burning sensation,nausea,common cold,cough"
itrason 200 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
itrastar 100mg capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
itrasys 100 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
itratuf oral solution,"nausea,common cold,cough,blurred vision,menstrual disorder"
itrazole 100 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
itromed 100 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
ivecop 6 tablet,no common side effects seen
ivepred 1000mg injection,"nausea,sweating,edema (swelling),thinning of skin,increased risk of infection"
iversafe cream,"application site reactions (burning, irritation, itching and redness),no common side effects seen"
iverscab 12mg dispersible tablet,no common side effects seen
izra-l capsule sr,"nausea,vomiting,diarrhea,constipation,upset stomach"
jalra 50mg tablet,"hypoglycemia (low blood glucose level),tremors,headache,dizziness,fatigue"
jointace dn tablet,"nausea,diarrhea,constipation,indigestion,heartburn"
joten m tablet,"hypoglycemia (low blood glucose level),nausea,vomiting,diarrhea,headache"
jubiflam plus tablet,"nausea,vomiting,heartburn,indigestion,diarrhea"
kansel -ds lotion,"blisters,skin peeling,swelling,application site irritation"
ketanov 10mg tablet,"vomiting,stomach pain/epigastric pain,nausea,indigestion,diarrhea"
ketofast shampoo,"application site reactions (burning, irritation, itching and redness)"
ketoneph tablet,increased calcium level in blood
ketral  2% scalp solution,"skin peeling,application site reactions (burning, irritation, itching and redness),nausea,vomiting,abdominal pain"
kevon lotion,"skin peeling,application site reactions (burning, irritation, itching and redness),nausea,vomiting,abdominal pain"
kinpride tablet,"headache,nausea,diarrhea"
klm-d3 nano drops,no common side effects seen
kofover expectorant raspberry strawberry,"bronchitis (inflammation of the airways),dizziness,vomiting,inflammation of the nose,pain"
kombiglyze  xr 5mg/1000mg tablet,"hypoglycemia (low blood glucose level),nausea,vomiting,diarrhea,decreased appetite"
ktc medicated shampoo,"application site reactions (burning, irritation, itching and redness)"
kyrah tablet,"nausea,stomach pain,headache,irregular uterine bleeding,weight gain"
kz dusting powder,"skin peeling,application site reactions (burning, irritation, itching and redness),nausea,vomiting,abdominal pain"
l-bakterie oz oral suspension,"nausea,loss of appetite,dizziness,headache"
lacarnit 330 tablet,"vomiting,nausea"
lacom-cv 625 tablet,"vomiting,nausea,diarrhea"
lacripex eye drop,"application site reactions (burning, irritation, itching and redness),blurred vision"
lactifiber  granules,"bloating,stomach cramp,flatulence"
lamifin -forte tablet,"headache,diarrhea,rash,indigestion,abnormal liver enzyme"
lamitor dt 25 tablet,"skin rash,headache,nausea,vomiting,dryness in mouth"
lamitor dt 50 tablet,"skin rash,headache,nausea,vomiting,dryness in mouth"
lamitor od 200 tablet sr,"skin rash,headache,nausea,vomiting,dryness in mouth"
lamrest 10 tablet,"headache,drowsiness"
lapezil 10 tablet,"nausea,diarrhea,insomnia (difficulty in sleeping),vomiting,muscle cramp"
larentine d 5mg/10mg tablet,"nausea,vomiting,loss of appetite,diarrhea,headache"
lasilactone  50 tablet,"breast enlargement in male,electrolyte imbalance,volume depletion"
lasix injection,"dizziness,weakness,dehydration,decreased potassium level in blood,increased blood uric acid"
lasix tablet,"dehydration,decreased potassium level in blood,decreased magnesium level in blood,decreased blood pressure,electrolyte imbalance"
latina rt eye drop,"eyelash changes,eye pain,increased sensitivity to light,burning sensation in eye,eye itching"
lemolate gold  tablet,"nausea,vomiting,insomnia (difficulty in sleeping),dizziness,impaired coordination"
lenalid 5 capsule,"headache,weakness,nausea,rash,dizziness"
leocan 150mg tablet,"headache,nausea,stomach pain"
levemir 100iu/ml flexpen,"hypoglycemia (low blood glucose level),injection site allergic reaction,lipodystrophy (skin thickening or pits at the injection site)"
levenue 750 tablet,"sleepiness,dizziness,fatigue,headache,decreased appetite"
levepsy xr 500 tablet,"sleepiness,dizziness,fatigue,headache,decreased appetite"
levera 250 tablet,"sleepiness,dizziness,fatigue,headache,decreased appetite"
levera 750 tablet,"sleepiness,dizziness,fatigue,headache,decreased appetite"
levesam oral solution,"sleepiness,dizziness,fatigue,headache,decreased appetite"
levolin 1 tablet,"tremors,headache,palpitations,increased heart rate,muscle cramp"
levomac 500 tablet,"headache,dizziness,nausea,constipation,diarrhea"
levomil 20 capsule er,"nausea,vomiting,constipation,decreased appetite,anxiety"
levotiz tablet,"sleepiness,fatigue,dryness in mouth,headache,vomiting"
levozet tablet,"sleepiness,fatigue,dryness in mouth,headache,vomiting"
lignox 2 % a injection,"pale skin,burning sensation,stinging sensation,erythema (skin redness),itching"
lilituf lotion,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
lincotus dx  dry cough formula,"headache,nausea,vomiting,upset stomach,sleepiness"
linid iv 600mg infusion,"vomiting,headache,nausea,decreased blood cells (red cells, white cells, and platelets),diarrhea"
lipicard-av tablet,"nausea,stomach pain,constipation,flatulence,headache"
lipigo f 10 tablet,"headache,muscle pain,constipation,abnormal liver function tests,joint pain"
lipirose 20 tablet,"muscle pain,weakness,headache,abdominal pain,dizziness"
lipril am tablet,"ankle swelling,headache,tiredness,palpitations,increased potassium level in blood"
lipvas 20 tablet,"dyspepsia,abdominal pain,indigestion,diarrhea,joint pain"
lithosun sr tablet,"tremors,slurred speech,uncoordinated body movements,nausea,acne"
livial tablet,"breast pain,vaginal bleeding,weight gain,abnormal hair growth,breast tenderness"
liviz tablet,"nausea,fatigue,headache"
lizoforce dry syrup,"decreased blood pressure,vomiting,headache,nausea,decreased blood cells (red cells, white cells, and platelets)"
lizomed 300 tablet,"vomiting,headache,nausea,decreased blood cells (red cells, white cells, and platelets),diarrhea"
lizomed oral suspension,"decreased blood pressure,vomiting,headache,nausea,decreased blood cells (red cells, white cells, and platelets)"
locula 20% eye drop,"eye irritation,stinging in the eyes"
loette tablet,"nausea,headache,breast pain,abdominal pain,weight gain"
lofatin cream,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
logidruf shampoo,"application site reactions (burning, irritation, itching and redness)"
lomofen plus tablet,"constipation,nausea,headache,stomach pain"
loprin 75 tablet,"heartburn,increased bleeding tendency,nausea,upset stomach,vomiting"
lornit 150 tablet,"injection site reactions (pain, swelling, redness)"
lornit sachet,"injection site reactions (pain, swelling, redness)"
losar 25 tablet,"dizziness,decreased blood pressure,hypoglycemia (low blood glucose level),increased potassium level in blood,increased blood urea"
losar beta-h tablet,"nausea,taste change,diarrhea,upset stomach,headache"
losartas 25 tablet,"dizziness,decreased blood pressure,hypoglycemia (low blood glucose level),increased potassium level in blood,increased blood urea"
loteflam eye drop,"eye irritation,watery eyes,burning sensation"
lotemox eye drop,"eye irritation,eye discomfort"
lovolkem 250mg tablet,"headache,dizziness,nausea,constipation,diarrhea"
lozivate cream,"skin atrophy,telangiectasia,skin irritation,dry skin"
lozivate-f cream,"application site reactions (burning, irritation, itching and redness),thinning of skin"
lubimoist eye drop,limited data available
lubrex eye drop,"eye irritation,burning eyes,eye discomfort,eye itching,eye pain"
ludura cream,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
luliact cream,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
lulican cream,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
lulilok cream,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
lulimac cream,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
lulimac lotion,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
lulimac xl lotion,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
luliporus cream,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
lupicet tablet,"sleepiness,dizziness"
lupigest 100 capsule,hot flushes
lupigest sr 300 tablet,hot flushes
lupirtin capsule,"fatigue,dizziness,nausea,dryness in mouth,tremors"
lupisoz-d capsule sr,"diarrhea,flatulence,stomach pain,dryness in mouth,headache"
lupride 4mg injection,"decreased libido,testicular atrophy,increased sweating,fatigue,muscle weakness"
lutica cream,"application site reactions (burning, irritation, itching and redness)"
lymzit 408mg capsule,"vomiting,nausea,diarrhea,photosensitivity"
lysatone plus syrup sugar free,"stomach pain,nausea,vomiting,diarrhea"
m-laz tablet,"headache,sinus infection,back pain,abdominal pain,musculoskeletal (bone, muscle or joint) pain"
macpod 100-dt tablet,"rash,nausea,diarrhea"
macprox dp 250 tablet,"flu-like symptoms,indigestion,dryness in mouth"
mahacef dry syrup,"abdominal pain,allergy,nausea,stomach pain,indigestion"
mahaflox 400 tablet,"eye discomfort,dry eye,burning sensation in eye"
mahaflox kt eye drop,"conjunctivitis,reduced visual acuity,dry eye,eye discomfort,ocular hyperemia"
martifur mr 100mg tablet,"nausea,vomiting,diarrhea"
materna hmg 150i.u injection,"headache,injection site pain,injection site allergic reaction,abdominal pain,abdominal cramp"
maxgalin 150 capsule,"blurred vision,difficulty in paying attention,dizziness,dryness in mouth,edema (swelling)"
maxmala  50 capsule,"dizziness,sleepiness,tiredness,uncoordinated body movements"
maxvoid 8 tablet,"retrograde ejaculation,dizziness,diarrhea,orthostatic hypotension (sudden lowering of blood pressure on standing),headache"
mazetol sr 300 tablet,"dizziness,nausea,vomiting,constipation,sleepiness"
me-pr capsule,"dizziness,sleepiness,tiredness,uncoordinated body movements"
mebiz sr capsule,skin rash
mefomin 1000 sr tablet,"diarrhea,nausea,vomiting,flatulence"
meftagesic-ds suspension,"nausea,vomiting,diarrhea,indigestion,loss of appetite"
meftal-p suspension,"vomiting,stomach pain,nausea,headache,dizziness"
megacholin pastilles,no common side effects seen
melalite forte cream,"erythema (skin redness),dryness and fissuring of paranasal and infraorbital areas,stinging sensation"
menactra vaccine,"injection site reactions (pain, swelling, redness),irritability,loss of appetite,sleepiness,headache"
merislon 6 tablet,"headache,indigestion,nausea,stomach pain,bloating"
meronem 1000mg injection,"nausea,vomiting,headache,rash,diarrhea"
mesacol 800 tablet dr,"flatulence,headache,itching,diarrhea,nausea"
metadoze-ipr 500 tablet sr,"diarrhea,nausea,vomiting,flatulence"
metasone plus cream,"application site reactions (burning, irritation, itching and redness)"
metaspray nasal spray,"respiratory tract infection,headache,sore throat,itching,nosebleeds"
metatime 1000 xr tablet,"diarrhea,nausea,vomiting,flatulence"
methycobal tablet,"vomiting,loss of appetite,headache"
metmin-a tablet,"nausea,taste change,loss of appetite,diarrhea,stomach pain"
metocard xl 12.5 tablet,"fatigue,headache,slow heart rate,dizziness,nausea"
metocard xl 50 tablet,"fatigue,headache,slow heart rate,dizziness,nausea"
metolar am  50 tablet,"nausea,slow heart rate,abdominal pain,dizziness,fatigue"
metomac 50 tablet er,"fatigue,headache,slow heart rate,dizziness,nausea"
metonce 25mg tablet pr,"fatigue,headache,slow heart rate,dizziness,nausea"
metonce-am 50/5 tablet,"nausea,slow heart rate,abdominal pain,dizziness,fatigue"
metozox 25mg tablet er,"fatigue,headache,slow heart rate,dizziness,nausea"
metpure -xl 25 tablet,"nausea,headache,fatigue,slow heart rate,constipation"
metro pv ointment,"dry skin,application site reactions (burning, irritation, itching and redness)"
metrogyl-m ointment,"dry skin,application site reactions (burning, irritation, itching and redness)"
metsmall 500 tablet sr,"diarrhea,nausea,vomiting,flatulence"
metspot xl 25 tablet,"fatigue,headache,slow heart rate,dizziness,nausea"
metzok 25 tablet pr,"fatigue,headache,slow heart rate,dizziness,nausea"
mext 15 tablet,"abdominal pain,indigestion,loss of appetite,nausea,vomiting"
mhg lotion,"dry skin,skin irritation,burning sensation"
mibcal soft gelatin capsule,limited data available
michelle -sr tablet,"abdominal bloating,hot flushes,vaginal discharge,urinary incontinence,headache"
micronac pf eye drop,"decreased vision,foreign body sensation in eyes,increased intraocular pressure,watery eyes"
microshield 4% surgical handwash,no common side effects seen
migiplex 40mg/10mg tablet,"weight gain,slow heart rate,tiredness,depression,drowsiness"
mikacin 500mg injection,"increased blood urea,injection site reactions (pain, swelling, redness)"
minado 500 tablet,"flu-like symptoms,indigestion,dryness in mouth"
minilactone tablet,"breast enlargement in male,electrolyte imbalance,volume depletion"
minirin 0.2mg tablet,"headache,nausea,stomach pain"
minolox 100 tablet,"headache,dizziness,photosensitivity,vomiting,nausea"
minolox 50 tablet,"headache,dizziness,photosensitivity,vomiting,nausea"
minoxy 2 solution,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
minoz od 100 capsule mr,"headache,dizziness,photosensitivity,vomiting,nausea"
minscalp 2% solution,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
miontizee-l tablet,"nausea,diarrhea,dryness in mouth,fatigue,headache"
mirabet 25 tablet er,"constipation,headache,high blood pressure,nasal inflammation,urinary tract infection"
mirbeg-s 50 combo pack,"headache,high blood pressure,nasopharyngitis (inflammation of the throat and nasal passages),urinary tract infection"
misty eye drop,"eye irritation,burning eyes,eye discomfort,eye itching,eye pain"
misty gel,"eye irritation,burning eyes,eye discomfort,eye itching,eye pain"
mlobe eye ointment,"eye discomfort,dry eye,burning sensation in eye"
mnc plus capsule,"dizziness,sleepiness,tiredness,uncoordinated body movements"
mnx 5 solution,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
mnx-forte solution,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
mofecon 500 tablet,"nausea,vomiting,diarrhea,abdominal pain,headache"
momate-xl cream,"stinging sensation,headache,sore throat,itching,nosebleeds"
montair 5mg chewable tablet strawberry,"dizziness,nausea,vomiting,headache,diarrhea"
montecip lc tablet,"nausea,diarrhea,dryness in mouth,fatigue,headache"
montina-l tablet,"nausea,diarrhea,dryness in mouth,fatigue,headache"
motogram eye drop,"application site reactions (burning, irritation, itching and redness)"
moveran gel,"redness of skin,swelling"
moxcent 0.3 tablet,"dryness in mouth,headache,rash,dizziness,back pain"
moxclav 625 tablet,"vomiting,nausea,diarrhea"
moxiforce-cv 375 tablet,"vomiting,nausea,diarrhea"
moxikind-cv 625 tablet,"vomiting,nausea,diarrhea"
moxikind-cv kid tablet,"nausea,vomiting,abdominal pain,diarrhea,allergy"
moximax d eye drop,"eye irritation,eye discomfort,blurred vision"
moxivail eye drop,"eye discomfort,dry eye,burning sensation in eye"
mpb 1 tablet,"decreased libido,erectile dysfunction,ejaculation disorder"
mpot b6 oral solution natural mango sugar free,"diarrhea,nausea,vomiting,stomach pain"
mucolite sr capsule,"vomiting,nausea,upset stomach"
mucolite tablet,"vomiting,nausea,upset stomach"
mucopain gel,"application site reactions (burning, irritation, itching and redness)"
mupidac cream,"itching,burning sensation,stinging sensation,pain"
musaf ointment,"itching,burning sensation,stinging sensation,pain"
muscobon tablet,limited data available
mx 2 solution,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
mycoderm-nm cream,"application site reactions (burning, irritation, itching and redness)"
mycofit-s 180mg tablet dr,"nausea,vomiting,diarrhea,abdominal pain,headache"
mycomune-s 360 tablet,"nausea,vomiting,diarrhea,abdominal pain,headache"
mymi plus capsule,"dizziness,sleepiness,tiredness,uncoordinated body movements"
myosam 200 tablet,"nausea,diarrhea,upset stomach,constipation,dizziness"
myotan 40 tablet,"dizziness,muscle damage,diarrhea"
myotec s 360mg tablet,"nausea,vomiting,diarrhea,abdominal pain,headache"
nac 50 tablet,"edema (swelling),nausea,headache,dizziness,vomiting"
natrilam 2.5mg tablet sr,"sleepiness,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk),nausea"
navionce eye drop,"blurred vision,increased sensitivity to light,change in color vision,decreased vision,eye pain"
nebi-am tablet,"headache,fatigue,dizziness,diarrhea"
nebi-h tablet,"nausea,constipation,diarrhea,fatigue,dizziness"
nebicip 2.5 tablet,"nausea,headache,slow heart rate,fatigue,constipation"
nebilong h tablet,"nausea,constipation,diarrhea,fatigue,dizziness"
nefrosave keto sachet,increased calcium level in blood
neopride tablet,"increased prolactin level in blood,extrapyramidal symptoms,weight gain,akathisia (inability to stay still),increased liver enzymes"
neosporin h ear drop,"application site reactions (burning, irritation, itching and redness)"
nepaflam eye drop,"decreased vision,foreign body sensation in eyes,increased intraocular pressure,watery eyes"
nepawel eye drop bkc free,"decreased vision,foreign body sensation in eyes,increased intraocular pressure,watery eyes"
nephtor 100 tablet,"headache,dizziness,dehydration,constipation,decreased blood pressure"
nervsenz tablet sr,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
netazox tablet,"headache,nausea,dizziness,abdominal pain,chromaturia (abnormal coloration of urine)"
neurofit syrup,"weight gain,nervousness,abnormality of voluntary movements"
neuromin-m syrup,"nervousness,abnormality of voluntary movements,weight gain"
new hair 4u 2% solution,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
new theo-asthalin syrup,"nausea,vomiting,restlessness,tremors,headache"
nexsart 80 tablet,"dizziness,muscle damage,diarrhea"
nexvenla-od 50  tablet er,"anxiety,constipation,decreased appetite,dizziness,increased sweating"
neypac 0.1% eye drop,"decreased vision,foreign body sensation in eyes,increased intraocular pressure,watery eyes"
nicoglow 250mg tablet,"itching,flushing (sense of warmth in the face, ears, neck and trunk),erythema (skin redness),paresthesia (tingling or pricking sensation)"
nimodip tablet,"decreased blood pressure,headache,increased heart rate,nausea,rash"
nizonide oral suspension,"urine discoloration,skin rash"
nobel mr tablet,"nausea,vomiting,diarrhea,sleepiness,weakness"
nodict 50mg tablet,"joint pain,muscle pain,headache,vomiting,weakness"
norflox-tz rf tablet,"nausea,dryness in mouth,metallic taste,headache"
norwayz tablet,"nasopharyngitis (inflammation of the throat and nasal passages),cough,diarrhea,back pain"
noscab soap,"application site reactions (burning, irritation, itching and redness),dry skin"
novacor cream,"application site reactions (burning, irritation, itching and redness),thinning of skin"
novamox 125 rediuse oral suspension,"allergy,rash,vomiting,allergic reaction,nausea"
novastat gold 20 capsule,"increased bleeding tendency,abdominal pain,indigestion,bruise,nosebleeds"
novomix 30 100iu/ml penfill,hypoglycemia (low blood glucose level)
noworm oral suspension,"vomiting,dizziness,increased liver enzymes,nausea,loss of appetite"
noxin cream,"application site reactions (burning, irritation, itching and redness)"
nucoril 5 tablet,"headache,nausea,vomiting,weakness,dizziness"
nucoxia d3 capsule,"diarrhea,stomach pain,indigestion,flatulence,swelling of hands"
nuhenz capsule,limited data available
nulong-trio tablet,"ankle swelling,headache,dizziness,tiredness,palpitations"
numbex cream,"application site reactions (burning, irritation, itching and redness),rash"
nunaf tablet,"allergic skin rash,upset stomach"
nupenta ls capsule sr,"stomach pain,vomiting,diarrhea,headache,nausea"
nurocol tablet,"decreased blood pressure,arrhythmia (irregular heartbeats),stomach pain,diarrhea"
nurogab 75 tablet sr,"blurred vision,difficulty in paying attention,dizziness,dryness in mouth,edema (swelling)"
nurogab nt  tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
nurogab nt  tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
nurokind-plus nf injection,no common side effects seen
o2 derm cream,"thinning of skin,application site reactions (burning, irritation, itching and redness)"
ocid l capsule pr,"nausea,vomiting,diarrhea,constipation,upset stomach"
ocona-z lotion,"application site reactions (burning, irritation, itching and redness)"
ocuvir 200 dt tablet,"headache,dizziness,vomiting,nausea,fatigue"
oflokem eye/ear drops,"application site irritation,nausea,headache,diarrhea"
oflokem oz tablet,"nausea,vomiting,dizziness,headache,insomnia (difficulty in sleeping)"
okacet cold tablet,"nausea,vomiting,headache,fatigue,dizziness"
okacet cold total tablet,"vomiting,dryness in mouth,headache,sleepiness,fatigue"
olan 10 tablet,"dizziness,sleepiness,orthostatic hypotension (sudden lowering of blood pressure on standing),dryness in mouth,weight gain"
olan 5 tablet,"dizziness,sleepiness,orthostatic hypotension (sudden lowering of blood pressure on standing),dryness in mouth,weight gain"
oleanz 2.5 tablet,"dizziness,sleepiness,orthostatic hypotension (sudden lowering of blood pressure on standing),dryness in mouth,weight gain"
olimelt 15 tablet,"dizziness,sleepiness,orthostatic hypotension (sudden lowering of blood pressure on standing),dryness in mouth,weight gain"
olkem 20 am tablet,"sleepiness,taste change,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk)"
olkem 40 ct tablet,"nausea,taste change,diarrhea,upset stomach,weakness"
olmark-ah tablet,"headache,dizziness,nausea,upper respiratory tract infection,fatigue"
olmark-h tablet,"dizziness,weakness,headache,tiredness,edema (swelling)"
olmark-h tablet,"dizziness,weakness,headache,tiredness,edema (swelling)"
olmax 40 tablet,"cough,diarrhea,dizziness,flu-like symptoms,headache"
olmax-am tablet,"sleepiness,taste change,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk)"
olmetime-ct 20 tablet,"nausea,taste change,diarrhea,upset stomach,weakness"
olmetime-h 40 tablet,"dizziness,weakness,headache,tiredness,edema (swelling)"
olmezest h 20 tablet,"dizziness,weakness,headache,tiredness,edema (swelling)"
olmighty am tablet,"sleepiness,taste change,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk)"
olmin 20-ch tablet,"nausea,taste change,diarrhea,upset stomach,weakness"
olmy-a tablet,"sleepiness,taste change,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk)"
olmy-d 40 tablet sr,"nausea,constipation,stomach pain,dizziness,headache"
olo 1 eye drop,"eye pain,eye irritation,abnormal eye sensation,eye discomfort,sleepiness"
olvance m 50 tablet,"nausea,diarrhea,constipation,upset stomach,taste change"
omnipres am tablet,"sleepiness,taste change,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk)"
onabet 2% cream,"application site reactions (burning, irritation, itching and redness),skin irritation"
onbrez 150mcg breezhaler,"cough,oropharyngeal pain,nasopharyngitis (inflammation of the throat and nasal passages),headache,nausea"
onco bcg 40mg injection,urinary tract infection
ondero met 2.5mg/500mg tablet,"hypoglycemia (low blood glucose level),nausea,diarrhea,vomiting,flatulence"
onenac sp 100mg/325mg/10mg tablet,"nausea,vomiting,stomach pain,indigestion,heartburn"
ontears gel drops,"eye irritation,burning eyes,eye discomfort,eye itching,eye pain"
opara tablet,"stomach pain,nausea,vomiting"
optilac eye drop,"burning sensation,stinging sensation"
oraflora la gel,no common side effects seen
orasep ot mouth paint,"no common side effects seen,blisters,skin peeling,swelling,application site irritation"
oratil 250mg tablet,"rash,vomiting,allergic reaction,increased liver enzymes,nausea"
orkid-l cream,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
ornof tablet,"nausea,vomiting,dizziness,headache,insomnia (difficulty in sleeping)"
orogard sg gel,no common side effects seen
orthocort 12 tablet,"increased appetite,weight gain,frequent urge to urinate,cushing syndrome,cough"
osiris tablet,limited data available
osteofos 35 tablet,"diarrhea,headache,heartburn,musculoskeletal (bone, muscle or joint) pain,indigestion"
otek-ac neo ear drop,"application site reactions (burning, irritation, itching and redness)"
ovafuze tablet,"nausea,vomiting,headache"
ovagen 50mg tablet,"nausea,vomiting,bloating,headache,enlarged ovary"
ovidine 5% ointment,"application site reactions (burning, irritation, itching and redness)"
oxcq 300 tablet,"blurred vision,headache,diarrhea,abdominal pain,vomiting"
oxramet xr 10mg/500mg tablet,"sore throat,nasal congestion (stuffy nose),runny nose,headache,nausea"
oxring 300mg tablet,"headache,nausea,vomiting,fatigue,dizziness"
ozomet-pg 2 tablet er,"hypoglycemia (low blood glucose level),dizziness,headache,nausea,vomiting"
p2i tablet,"diarrhea,flatulence,headache,nausea,stomach pain"
pacimol xp tablet dt,"stomach pain,nausea,vomiting"
panbloc tablet,"diarrhea,flatulence,headache,nausea,stomach pain"
panderm nm cream,"application site reactions (burning, irritation, itching and redness),thinning of skin"
panex-cr 25 tablet,"nausea,fatigue,dryness in mouth,loss of appetite,increased sweating"
panimun bioral 25mg capsule,"headache,nausea,vomiting,increased hair growth,high blood pressure"
pansa-d tablet,"diarrhea,stomach pain,flatulence,dryness in mouth,dizziness"
pantosec d sr capsule,"diarrhea,stomach pain,flatulence,dryness in mouth,dizziness"
paradise xr 12.5 tablet,"nausea,fatigue,dryness in mouth,loss of appetite,increased sweating"
parit tablet,"diarrhea,dizziness,flatulence,headache,nausea"
parkin tablet,"dryness in mouth,nausea,vomiting,constipation,blurred vision"
parot-cr 12.5 tablet,"nausea,fatigue,dryness in mouth,loss of appetite,increased sweating"
paxidep cr 37.5 tablet,"nausea,fatigue,dryness in mouth,loss of appetite,increased sweating"
penclav 625 tablet,"vomiting,nausea,diarrhea"
penegra xpress 50mg tablet,"flushing (sense of warmth in the face, ears, neck and trunk),headache,stiffness,nosebleeds,blurred vision"
penidure la 6 injection,"rash,allergic reaction,injection site reactions (pain, swelling, redness)"
pentanerv 450mg tablet sr,"viral infection,sleepiness,dizziness,impaired coordination,fatigue"
pentanerv-nt 100mg/10mg tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
pentopan dsr capsule pr,"diarrhea,stomach pain,flatulence,dryness in mouth,dizziness"
pentowok d tablet,"diarrhea,stomach pain,flatulence,dryness in mouth,dizziness"
percin tablet,"allergic reaction,abnormal liver function tests,stomach pain,nausea,diarrhea"
perinorm tablet,"restlessness,fatigue,weakness"
pernex ac 2.5% gel,"dry skin,erythema (skin redness),burning sensation,itching,skin peeling"
persil eye drop,"dilatation of pupil,eye irritation,blurred vision,burning eyes"
pexep cr 25 tablet,"nausea,fatigue,dryness in mouth,loss of appetite,increased sweating"
pexpen-cr 25 tablet,"nausea,fatigue,dryness in mouth,loss of appetite,increased sweating"
