name,side_effects
phexin 250mg redisyp banana,"rash,stomach pain,nausea,indigestion,diarrhea"
phexin 500mg capsule,"rash,stomach pain,nausea,indigestion,diarrhea"
phlogam tablet,no common side effects seen
pioglar 15 tablet,"hypoglycemia (low blood glucose level),edema (swelling),upper respiratory tract infection,bronchitis (inflammation of the airways),anemia (low number of red blood cells)"
pioglit 30 tablet,"hypoglycemia (low blood glucose level),edema (swelling),upper respiratory tract infection,bronchitis (inflammation of the airways),anemia (low number of red blood cells)"
piokind-m 15 tablet,"headache,dizziness,hypoglycemia (low blood glucose level),diarrhea,nausea"
piptaz 4.5gm injection,"nausea,vomiting,diarrhea,rash,allergic reaction"
pirfenex 600mg tablet,"insomnia (difficulty in sleeping),headache,dizziness,tiredness,sinus inflammation"
piriton cs syrup,"upset stomach,sleepiness"
piriton expectorant,"sleepiness,allergic reaction"
plagril 75 tablet,bleeding
pletoz 100 tablet,"headache,palpitations,abnormal stool,diarrhea,dizziness"
plosat gm cream,"application site reactions (burning, irritation, itching and redness),thinning of skin"
podowart paint,"application site reactions (burning, irritation, itching and redness)"
pomalid 2mg capsule,"fatigue,fever,bone pain,muscle cramp,diarrhea"
pop it capsule sr,"diarrhea,stomach pain,headache,flatulence,dizziness"
povidone iodine solution,"application site reactions (burning, irritation, itching and redness)"
ppg met 0.2 tablet sr,"flatulence,diarrhea,bloating,abdominal pain,vomiting"
pramipex 0.25 tablet,"dizziness,sleepiness,nausea,dryness in mouth,fatigue"
pramirol sr 1.05 tablet,"dizziness,sleepiness,nausea,dryness in mouth,fatigue"
pratham 100 rediuse oral suspension,"vomiting,nausea,abdominal pain,diarrhea"
pregaba 50 capsule,"blurred vision,difficulty in paying attention,dizziness,dryness in mouth,edema (swelling)"
pregaba nt 75 mg/10 mg tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
pregalin m sr 75 tablet,"dizziness,sleepiness,tiredness,uncoordinated body movements"
presmovac 2 tablet,"headache,nausea,diarrhea,abdominal pain"
preva-as 150 tablet,"abdominal pain,bruise,diarrhea,gastrointestinal bleeding,increased bleeding tendency"
primiwal e2 tablet,"headache,nausea,breast pain,abdominal cramp,bloating"
proctosedyl bd cream,"application site reactions (burning, irritation, itching and redness)"
prograf 0.5mg capsule,"diarrhea,increased glucose level in blood,increased thirst,kidney damage,liver damage"
progynova 2mg tablet,"headache,nausea,breast pain,abdominal cramp,bloating"
prolomet r 25 tablet er,"nausea,taste change,vomiting,diarrhea,constipation"
prolox extra strength 10% topical solution,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
propyzole nf cream,"burning sensation,stinging sensation,erythema (skin redness),irritation,itching"
provanol 10 tablet,"tiredness,weakness,raynaud's phenomenon,arrhythmia (irregular heartbeats),nausea"
prutrip 25mg tablet,"sedation,nausea,vomiting,upset stomach,constipation"
pulmoday 20mg tablet,"flushing (sense of warmth in the face, ears, neck and trunk),headache,stiffness,nosebleeds,blurred vision"
pulmofib 200mg tablet,"insomnia (difficulty in sleeping),headache,dizziness,tiredness,sinus inflammation"
pyridium 200 tablet,"diarrhea,headache,dizziness,stomach cramp"
q-mind 25 tablet,"dizziness,dryness in mouth,sleepiness,constipation,fatigue"
q-sap eye ointment,"burning sensation in eye,stinging in the eyes,eye irritation,blurred vision"
r-loc 150 tablet,"headache,diarrhea,gastrointestinal disturbance"
rabcita dsr capsule,"diarrhea,stomach pain,dryness in mouth,headache,dizziness"
rabemac 20 tablet,"diarrhea,dizziness,flatulence,headache,nausea"
rabetex 20mg tablet,"diarrhea,dizziness,flatulence,headache,nausea"
rabidoc 20 tablet,"diarrhea,dizziness,flatulence,headache,nausea"
rabitop tablet,"diarrhea,dizziness,flatulence,headache,nausea"
rablet 10 tablet,"diarrhea,dizziness,flatulence,headache,nausea"
rablet d 40 capsule sr,"diarrhea,stomach pain,dryness in mouth,headache,dizziness"
rafacol tablet cr,"headache,abdominal pain,depression,joint pain,cushing syndrome"
ramihart 5 capsule,"dizziness,drowsiness,dry cough,headache,fatigue"
ramistar 1.25 tablet,"dizziness,drowsiness,dry cough,headache,fatigue"
rancv 1000 tablet er,"nausea,vomiting,headache,dizziness,constipation"
ranidom- rd tablet,"diarrhea,flatulence,stomach pain,dryness in mouth,headache"
rapiclav 375 tablet,"vomiting,nausea,diarrhea"
rapitus ls syrup,"nausea,vomiting,diarrhea,upset stomach,stomach pain"
regaine 2% solution,"itching,chest pain,headache,hypertrichosis (excessive hair growth),rash"
rejumet tablet sr,"nausea,taste change,loss of appetite,diarrhea,stomach pain"
rejunuron nt tablet,"constipation,weight gain,orthostatic hypotension (sudden lowering of blood pressure on standing),increased heart rate,dizziness"
relgin 0.5 tablet,"joint pain,insomnia (difficulty in sleeping),indigestion,flu-like symptoms,depression"
relikast lc 5mg/10mg tablet,"nausea,diarrhea,dryness in mouth,fatigue,headache"
relinase 0.25mg tablet,"agitation,extrapyramidal symptoms,insomnia (difficulty in sleeping),muscle spasm,headache"
relysal lotion,"skin peeling,thinning of skin,application site reactions (burning, irritation, itching and redness)"
rem cc lm 5 mg/10 mg tablet,"nausea,diarrhea,dryness in mouth,fatigue,headache"
remo zen m 100mg/1000mg tablet,"urinary tract infection,nausea,vomiting,diarrhea,abdominal pain"
renocrit 4000iu injection,"high blood pressure,nausea,vomiting,fever,rash"
repace h tablet,"nausea,taste change,upset stomach,diarrhea,headache"
resque 2mg tablet,"headache,insomnia (difficulty in sleeping),parkinsonism,drowsiness,sedation"
restasis ophthalmic emulsion (0.4ml each),"blurred vision,burning sensation in eye"
retense od tablet er,"fatigue,dizziness,nausea,dryness in mouth,tremors"
retino a micro 0.04% gel,"erythema (skin redness),skin irritation,dry skin,dry lips,pale red skin"
revici-e 250 tablet,"skin rash,vomiting,headache,nausea,diarrhea"
revlin m tablet sr,"dizziness,sleepiness,tiredness,uncoordinated body movements"
rexidin mouth wash,"taste change,staining of teeth,hard dental plaque"
rexidin srs mouth wash,"taste change,staining of teeth,hard dental plaque"
rexipra 5 tablet,"anorgasmia (decreased orgasm) in women,decreased libido,delayed ejaculation,fatigue,increased sweating"
rhinase nasal drops,"nosebleeds,nasal dryness,nasal irritation,dry throat,throat irritation"
rimoflo-t ophthalmic solution,"application site reactions (burning, irritation, itching and redness),blurred vision"
risnia plus tablet md,"nausea,constipation,dryness in mouth,weight gain,sleepiness"
rispond plus-ls tablet,"nausea,constipation,dryness in mouth,weight gain,sleepiness"
rizact 5 tablet,"dizziness,dryness in mouth,heaviness,jaw pain,nausea"
robinaxol d 50 mg/325 mg/500 mg tablet,"nausea,vomiting,heartburn,stomach pain,diarrhea"
ropark 2 tablet,"headache,dizziness,fainting,sleepiness,vomiting"
roseday-ez tablet,"nausea,muscle pain,headache,joint pain,diarrhea"
roseday-gold 20 capsule,"increased bleeding tendency,abdominal pain,indigestion,bruise,nosebleeds"
rospitril plus 2 tablet,"nausea,constipation,dryness in mouth,weight gain,sleepiness"
rosucia-gold capsule,"increased bleeding tendency,abdominal pain,indigestion,bruise,nosebleeds"
rosumac f 67mg/10mg tablet,"headache,muscle pain,constipation,abnormal liver function tests,joint pain"
rosuvas d 10 tablet,"nausea,stomach pain,constipation,muscle pain,weakness"
rosuvas ez 10 tablet,"nausea,muscle pain,headache,joint pain,diarrhea"
rozucor 20 tablet,"muscle pain,weakness,headache,abdominal pain,dizziness"
rozucor gold 20 capsule,"increased bleeding tendency,abdominal pain,indigestion,bruise,nosebleeds"
s citadep 5 tablet,"anorgasmia (decreased orgasm) in women,decreased libido,delayed ejaculation,fatigue,increased sweating"
safediclo 20mg/100mg capsule sr,"nausea,flatulence,indigestion,diarrhea,constipation"
safeova tablet,no common side effects seen
salen capsule,"itching,erythema (skin redness),nausea"
satrogyl-o tablet,"nausea,vomiting,stomach pain,loss of appetite,dizziness"
scabcare lotion,"hair loss,rash,erythematous rash,drowsiness,headache"
scaby lotion,"application site reactions (burning, irritation, itching and redness),dry skin"
sclerifuma 240 capsule dr,"flushing (sense of warmth in the face, ears, neck and trunk),abdominal pain,diarrhea,nausea"
sebonac gel,"itching,stinging sensation,skin peeling,erythema (skin redness)"
sebowash  shampoo,"application site reactions (burning, irritation, itching and redness)"
sefdin dry syrup,"nausea,vomiting,abdominal pain,diarrhea,allergy"
seizgard 200mg tablet,"dizziness,headache,nausea,sleepiness,vomiting"
semi amaryl m tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
sensiclav 625 tablet,"vomiting,nausea,diarrhea"
seradic tablet,"nausea,vomiting,heartburn,stomach pain,indigestion"
seradic-plus tablet,"nausea,vomiting,heartburn,indigestion,diarrhea"
seroflo 250 inhaler,"headache,cough,upper respiratory tract infection,nasopharyngitis (inflammation of the throat and nasal passages),sinus inflammation"
serta 100 tablet,"delayed ejaculation,erectile dysfunction,indigestion,insomnia (difficulty in sleeping),low sexual desire"
sertawar cream,"application site reactions (burning, irritation, itching and redness),skin irritation"
sibelium 10mg tablet,"sleepiness,weight gain,muscle pain,fatigue,constipation"
sii td-vac vaccine,"fever,injection site reactions (pain, swelling, redness),chills,joint inflammation"
sildoo 4 capsule,"retrograde ejaculation,dizziness,diarrhea,orthostatic hypotension (sudden lowering of blood pressure on standing),headache"
silnafil 25mg tablet,"flushing (sense of warmth in the face, ears, neck and trunk),headache,stiffness,nosebleeds,blurred vision"
siphene -m tablet,"nausea,vomiting,bloating,headache,enlarged ovary"
sizopin 200 tablet,"dizziness,fainting,constipation,fever,weight gain"
skinn-c soap,no common side effects seen
skinshine cream,"application site reactions (burning, irritation, itching and redness)"
softee cream,"burning sensation,tingling,rash"
soha 0.1% eye drop,limited data available
solu-medrol 125mg injection,"nausea,sweating,edema (swelling),thinning of skin,increased risk of infection"
solvin cold ds syrup,"nausea,headache,insomnia (difficulty in sleeping),dizziness,tachycardia"
solvin ls syrup,"nausea,vomiting,diarrhea,upset stomach,stomach pain"
solvin-dx syrup raspberry sugar free,"nausea,vomiting,loss of appetite,headache"
sonaxa nt 75mg/10mg tablet,"constipation,difficulty in urination,weight gain,sleepiness,dizziness"
sorbidiol 300 tablet,"abdominal pain,diarrhea,hair loss,itching,nausea"
sovihep v tablet,"headache,tiredness"
spasmonil drop,"nausea,vomiting,blurred vision,drowsiness,nervousness"
spasmonil plus tablet,"dizziness,dryness in mouth,blurred vision,nausea,sleepiness"
sporidex 100mg paediatric drops,"abdominal pain,rash,stomach pain,nausea,indigestion"
sporidex redimix suspension,"abdominal pain,rash,stomach pain,nausea,indigestion"
sporidex-cv 750 tablet er,"diarrhea,nausea,vomiting,indigestion,abdominal pain"
stafcure 250 tablet,"rash,vomiting,allergic reaction,increased liver enzymes,nausea"
stalopam 10 tablet,"anorgasmia (decreased orgasm) in women,decreased libido,delayed ejaculation,fatigue,increased sweating"
stancort 40mg injection,"infection,increased risk of infection,headache,joint pain,injection site reactions (pain, swelling, redness)"
stanlip 145mg tablet,"increased liver enzymes,nausea,vomiting,flatulence,abdominal pain"
step-up oral drops,"dizziness,headache"
step-up syrup,"dizziness,headache"
stonark-5 ax solution,"itching,headache,hypertrichosis (excessive hair growth),rash,dermatitis"
sulpitac 200 tablet,"nausea,vomiting,dryness in mouth,constipation,weight gain"
sulpitac od 200mg tablet,"nausea,vomiting,dryness in mouth,constipation,weight gain"
supatret c aqueous gel,"dryness,erythema (skin redness),scaling,burning sensation,skin exfoliation"
supiroban 2% ointment,"itching,burning sensation,stinging sensation,pain"
supirocin cream,"itching,burning sensation,stinging sensation,pain"
susten 100 injection,"headache,fatigue,joint pain,cough,abnormal menstrual bleeding"
swelinex gel,"no common side effects seen,vomiting,stomach pain,nausea,headache"
swich cv 50 dry syrup,"nausea,vomiting,abdominal pain,diarrhea,headache"
synca eye drop,"application site reactions (burning, irritation, itching and redness),blurred vision"
sysfol plus tablet,"sleepiness,dizziness,fatigue,dryness in mouth,constipation"
sysron-ncr tablet,"headache,dizziness,breast tenderness,nausea,vaginal spotting"
tacromus 0.5 capsule,"diarrhea,increased glucose level in blood,increased thirst,kidney damage,liver damage"
tacroren 1 capsule,"diarrhea,increased glucose level in blood,increased thirst,kidney damage,liver damage"
tacroz forte ointment,"application site reactions (burning, irritation, itching and redness),diarrhea,increased glucose level in blood,increased thirst,kidney damage"
tadact 20 tablet,"flushing (sense of warmth in the face, ears, neck and trunk),headache,blurred vision,muscle pain,upset stomach"
takfresh eye drop,"eye irritation,burning eyes,eye discomfort,eye itching,eye pain"
talecalm 5mg tablet,"orthostatic hypotension (sudden lowering of blood pressure on standing),sleepiness,dryness in mouth,abnormality of voluntary movements,weight gain"
talsil forte suspension,"chalky taste,diarrhea,constipation"
tamica-h 40 tablet,"fatigue,dizziness,nausea,diarrhea,sinus inflammation"
tampil 0.4 capsule pr,"dizziness,ejaculation disorder,headache,nausea,infection"
tantum oral rinse,no common side effects seen
targit-h 40/12.5mg tablet,"fatigue,dizziness,nausea,diarrhea,sinus inflammation"
tasulin-d tablet er,"impotence,decreased libido,ejaculation disorder,orthostatic hypotension (sudden lowering of blood pressure on standing),breast enlargement in male"
taxim 250mg injection,"rash,allergic reaction,nausea,injection site reaction,diarrhea"
taxim-o cv dry syrup,"nausea,diarrhea,stomach pain,indigestion,flatulence"
tazar 4.5g injection,"nausea,vomiting,diarrhea,rash,allergic reaction"
teczine tablet,"sleepiness,fatigue,dryness in mouth,headache,vomiting"
teglipt m 500mg/20mg tablet,"hypoglycemia (low blood glucose level),nausea,vomiting,diarrhea,headache"
telekast a tablet pr,"vomiting,heartburn,stomach pain,rash,itching"
telekast-l tablet,"nausea,diarrhea,dryness in mouth,fatigue,headache"
telista mt 50 tablet sr,"headache,weakness,dizziness,cold extremities,slow heart rate"
telma 40 tablet,"upper respiratory tract infection,sinus infection,back pain,diarrhea"
telma-am tablet,"sleepiness,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk),dizziness"
telma-beta 50 tablet er,"headache,weakness,dizziness,cold extremities,slow heart rate"
telma-ct 40/12.5 tablet,"dizziness,back pain,sinus infection,diarrhea,skin ulcer"
telma-ct 80/12.5 tablet,"dizziness,back pain,sinus infection,diarrhea,skin ulcer"
telmijub 20 tablet,"upper respiratory tract infection,sinus infection,back pain,diarrhea"
telmijub am 80mg tablet,"sleepiness,ankle swelling,headache,flushing (sense of warmth in the face, ears, neck and trunk),dizziness"
telmikind-amh tablet,"ankle swelling,dizziness,nausea,peripheral edema,mood changes"
telmital 40 tablet,"upper respiratory tract infection,sinus infection,back pain,diarrhea"
telsar 40 tablet,"upper respiratory tract infection,sinus infection,back pain,diarrhea"
telsartan trio tablet,"ankle swelling,dizziness,nausea,peripheral edema,mood changes"
telsite 40mg tablet,"upper respiratory tract infection,sinus infection,back pain,diarrhea"
tenebite-m 20/500 tablet sr,"hypoglycemia (low blood glucose level),nausea,vomiting,diarrhea,headache"
tenuvia tablet,"dizziness,headache,diarrhea,hypoglycemia (low blood glucose level),nausea"
teravir tablet,"diarrhea,nausea,rash,weakness,vomiting"
terefin cream,"application site reactions (burning, irritation, itching and redness),skin peeling,headache,diarrhea,rash"
terozesta 2mg tablet,"acne,headache,depression,breast discomfort"
terphylate syrup,"nausea,diarrhea,bloating,indigestion,vomiting"
texid-mf tablet,"nausea,vomiting,heartburn,indigestion,diarrhea"
thalitel 40 tablet,"dizziness,back pain,sinus infection,diarrhea,skin ulcer"
thrize tablet,no common side effects seen
thyrotas 12.5 tablet,"palpitations,vomiting,anxiety,diarrhea,flushing (sense of warmth in the face, ears, neck and trunk)"
ticaspan tablet,"bleeding,breathlessness"
tide 10 tablet,"headache,dizziness,dehydration,constipation,decreased blood pressure"
tigatel 20 tablet,"upper respiratory tract infection,sinus infection,back pain,diarrhea"
timanol 0.5% eye drop,"burning eyes,stinging in the eyes"
timebond dry syrup,"abdominal pain,rash,nausea,diarrhea"
timolet od bkc free eye drop,"burning eyes,stinging in the eyes"
tinitraz 200 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
tobaflam eye drop,"blurred vision,superficial punctate keratitis,increased intraocular pressure,burning sensation in eye,stinging in the eyes"
tobamist respules,"fever,taste change,voice change,eye irritation,burning sensation"
tobastar f eye drop,"application site reactions (burning, irritation, itching and redness),blurred vision"
tolkem sr 450 tablet,"sleepiness,fatigue,dryness in mouth,muscle weakness,nausea"
tolpa d tablet,"nausea,vomiting,heartburn,stomach pain,indigestion"
tolpazen tablet,"nausea,vomiting,heartburn,stomach pain,indigestion"
tolperitas-sr 450 tablet,"sleepiness,fatigue,dryness in mouth,muscle weakness,nausea"
tolvat 15 tablet,"frequent urge to urinate,nocturia (increased urge to urinate during the night),dryness in mouth,increased thirst,constipation"
topcos 500 tablet,"headache,diarrhea,rash,indigestion,abnormal liver enzyme"
topinate gel,"skin atrophy,telangiectasia,skin irritation,dry skin"
topisal 6% lotion,"skin peeling,thinning of skin,application site reactions (burning, irritation, itching and redness)"
topnac 200mg tablet sr,"vomiting,stomach pain/epigastric pain,nausea,indigestion,diarrhea"
topnac p tablet,"nausea,vomiting,stomach pain/epigastric pain,loss of appetite,heartburn"
torget 20 tablet,"headache,dizziness,dehydration,constipation,decreased blood pressure"
torplat 60 tablet,"bleeding,breathlessness"
torsid plus 20/50 tablet,"dizziness,frequent urge to urinate,headache,inflammation of the nose,muscle pain"
trajenta duo 2.5mg/1000mg tablet,"hypoglycemia (low blood glucose level),nausea,diarrhea,vomiting,flatulence"
tranlok-m tablet,"nausea,vomiting,heartburn,indigestion,diarrhea"
tranostat injection,"musculoskeletal (bone, muscle or joint) pain,joint pain,headache,back pain,vomiting"
travatan ophthalmic solution,"eye pain,foreign body sensation,eye discomfort,eye itching,ocular hyperemia"
travo-z eye drop,"eye pain,foreign body sensation,eye discomfort,eye itching,ocular hyperemia"
trazonil 25 tablet,"sleepiness,dizziness,constipation,blurred vision"
trebor 0.025% cream,"erythema (skin redness),skin irritation,dry skin,dry lips,pale red skin"
trenaxa mf tablet,"nausea,vomiting,heartburn,indigestion,diarrhea"
tretiva 40 capsule,"dry skin,increased liver enzymes,rash"
trfy 250 tablet,"headache,diarrhea,rash,indigestion,abnormal liver enzyme"
triben cn cream,"burning sensation,stinging sensation,erythema (skin redness),irritation,itching"
triben lotion,"blisters,skin peeling,swelling,application site irritation"
triobimet 1mg/500mg/15mg tablet er,"hypoglycemia (low blood glucose level),dizziness,headache,nausea,vomiting"
trioptal 150 tablet,"headache,nausea,vomiting,fatigue,dizziness"
tritelsar 40 tablet,"headache,dizziness,sleepiness,edema (swelling),increased uric acid level in blood"
trunex ms aqueous gel,"erythema (skin redness),skin irritation,dry skin,dry lips,pale red skin"
tryptomer 50mg tablet,"constipation,dryness in mouth,orthostatic hypotension (sudden lowering of blood pressure on standing),weight gain,aggressive behavior"
tuspel plus expectorant strawberry,"nausea,indigestion,diarrhea,bloating,tremors"
tusq-x plus expectorant,"excessive salivation,fatigue,paresthesia (tingling or pricking sensation),stomach discomfort,arrhythmia (irregular heartbeats)"
twinblok trio tablet er,"nausea,diarrhea,vomiting,constipation,headache"
tyrodin cream,"dry skin,skin rash"
u-b fair cream,"erythema (skin redness),skin peeling,burning sensation,dryness,itching"
ubicar tablet,"nausea,vomiting,heartburn,stomach pain,rash"
udcoliv 300 tablet,"abdominal pain,diarrhea,hair loss,itching,nausea"
udp-at tablet,"sleepiness,headache,ankle swelling,flushing (sense of warmth in the face, ears, neck and trunk),slow heart rate"
ulgel tablet saunf,"chalky taste,diarrhea,constipation"
ultituss oral suspension,"nausea,drowsiness,dizziness,dryness in mouth,fatigue"
unicalcin 100iu injection,"injection site reactions (pain, swelling, redness),flushing (sense of warmth in the face, ears, neck and trunk),high blood pressure,joint pain,vomiting"
urimax f capsule mr,"impotence,ejaculation disorder,headache,breast tenderness,dizziness"
urinet 200mg tablet,"nausea,vomiting,dryness in mouth,headache,drowsiness"
uritin-d tablet mr,"impotence,decreased libido,ejaculation disorder,orthostatic hypotension (sudden lowering of blood pressure on standing),breast enlargement in male"
ursocol 300 tablet,"abdominal pain,diarrhea,hair loss,itching,nausea"
utreva vaginal gel,vaginal bleeding
v 2 plus tablet,"nausea,vomiting,stomach pain,indigestion,heartburn"
v druf lotion,"application site reactions (burning, irritation, itching and redness)"
valance oral solution,"headache,dizziness,blurred vision,weakness,abdominal pain"
valgress -cr 500 tablet,"nausea,vomiting,weight gain,loss of appetite,gum swelling"
valprid cr 500 tablet,"nausea,vomiting,weight gain,loss of appetite,gum swelling"
valtec cr 300 tablet,"nausea,vomiting,weight gain,loss of appetite,gum swelling"
varenya cream,no common side effects seen
varimax 10 tablet,"flushing (sense of warmth in the face, ears, neck and trunk),headache,blurred vision,indigestion,dizziness"
vaxirab n 2.5iu injection,"pain,joint pain,injection site redness,injection site swelling,swelling of lymph nodes"
veenat 100 capsule,"edema (swelling),nausea,vomiting,muscle cramp,musculoskeletal (bone, muscle or joint) pain"
venlor-xr 75 capsule,"nausea,vomiting,dizziness,insomnia (difficulty in sleeping),decreased appetite"
ventab xl 75 tablet pr,"nausea,vomiting,dizziness,insomnia (difficulty in sleeping),decreased appetite"
vernace tablet,"vomiting,nausea"
vetory sp tablet,"nausea,vomiting,stomach pain,indigestion,heartburn"
vil-g tablet,"hypoglycemia (low blood glucose level),tremors,headache,dizziness,fatigue"
vilpower 50 tablet,"hypoglycemia (low blood glucose level),tremors,headache,dizziness,fatigue"
vinglyn m 500 tablet,"hypoglycemia (low blood glucose level),trembling,headache,dizziness,nausea"
vinicor-am 50/5 tablet pr,"nausea,slow heart rate,abdominal pain,dizziness,fatigue"
virolfi 450mg tablet,"diarrhea,fever,vomiting,anemia (low number of red blood cells),decreased white blood cell count"
viscodyne-d syrup,"upset stomach,sleepiness"
vitaresp fx 180 tablet,"nausea,diarrhea,vomiting,skin rash,flu-like symptoms"
voglibite 0.3 tablet md,"skin rash,flatulence,abdominal pain,diarrhea"
voglimet-gm tablet sr,"nausea,diarrhea,abdominal pain,hypoglycemia (low blood glucose level)"
voglinorm gm forte 2 tablet sr,"nausea,diarrhea,abdominal pain,hypoglycemia (low blood glucose level)"
voglitab 0.2 tablet,"skin rash,flatulence,abdominal pain,diarrhea"
voglitor mf 0.3 tablet,"flatulence,diarrhea,bloating,abdominal pain,vomiting"
vogo-m 0.3 tablet,"flatulence,diarrhea,bloating,abdominal pain,vomiting"
vomilast -od tablet,"sleepiness,dizziness,fatigue,dryness in mouth,constipation"
vozet tablet,"sleepiness,fatigue,dryness in mouth,headache,vomiting"
vsl 3 capsule,"bloating,flatulence"
welset cold tablet,"nausea,vomiting,headache,fatigue,dizziness"
wet-comod eye drop,"application site reactions (burning, irritation, itching and redness)"
wincold z tablet,"nausea,vomiting,headache,fatigue,dizziness"
wokadine gargle,"application site reactions (burning, irritation, itching and redness)"
wokadine m cream,"dry skin,application site reactions (burning, irritation, itching and redness)"
womazol tablet,"hot flashes,nausea,osteoporosis,skin rash,weakness"
xanilax sr 200 tablet,"nausea,headache,vomiting,upset stomach,restlessness"
xbaren 450 tablet sr,"headache,nausea,vomiting,fatigue,dizziness"
xerofung 100 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
xerofung 200 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
xgeva solution for injection,"musculoskeletal (bone, muscle or joint) pain,pain in extremities,nerve pain,constipation,rash"
xilia-m 1 tablet pr,"hypoglycemia (low blood glucose level),headache,nausea,diarrhea,flatulence"
xilia-mp 2 tablet,"hypoglycemia (low blood glucose level),dizziness,headache,nausea,vomiting"
xmet 250 tablet,"diarrhea,nausea,vomiting,flatulence"
xpect-b expectorant mixed fruit sugar free,"nausea,diarrhea,vomiting,dizziness,headache"
xstan 20mg tablet,"upper respiratory tract infection,sinus infection,back pain,diarrhea"
xylone adult nasal spray,"burning sensation,dry nose,headache,nausea,irritation"
zady readymix oral suspension,"vomiting,nausea,abdominal pain,diarrhea"
zatura 250 tablet,"vomiting,nausea,abdominal pain,diarrhea"
zedruff shampoo,"application site reactions (burning, irritation, itching and redness)"
zefretol 400 tablet,"sleepiness,blurred vision,nausea,headache,vomiting"
zefu-cv 250 tablet,"nausea,vomiting,diarrhea,increased liver enzymes,allergic reaction"
zelgor 250mg tablet,"edema (swelling),vomiting,decreased potassium level in blood,decreased white blood cell count,fatigue"
zenflox-plus 100 tablet,"loss of appetite,allergy"
zenoxa 600 tablet,"headache,nausea,vomiting,fatigue,dizziness"
zenoxa od 900 tablet sr,"headache,nausea,vomiting,fatigue,dizziness"
zeptin 20mg tablet,"dizziness,headache,diarrhea,hypoglycemia (low blood glucose level),nausea"
zilast 100 tablet,"headache,palpitations,abnormal stool,diarrhea,dizziness"
zincoderm-s ointment,"thinning of skin,dry skin,application site reactions (burning, irritation, itching and redness)"
zipac 20mg soft gelatin capsule,"dry skin,increased liver enzymes,rash"
zipant 40 tablet,"diarrhea,flatulence,headache,nausea,stomach pain"
zisper plus tablet,"nausea,constipation,dryness in mouth,weight gain,sleepiness"
zithrocin 500mg tablet,"vomiting,nausea,abdominal pain,diarrhea"
zithrokem 250mg tablet,"vomiting,nausea,abdominal pain,diarrhea"
zocef-cv 250 tablet,"nausea,vomiting,diarrhea,increased liver enzymes,allergic reaction"
zoclar 500mg tablet,"abdominal pain,diarrhea,headache,nausea,taste change"
zocon 150 tablet,"headache,nausea,stomach pain"
zofer 2mg oral solution,"constipation,diarrhea,fatigue,headache"
zole-it 100 capsule,"nausea,common cold,cough,blurred vision,menstrual disorder"
zomelis 50mg tablet,"hypoglycemia (low blood glucose level),tremors,headache,dizziness,fatigue"
zomet 500mg tablet,"diarrhea,nausea,vomiting,flatulence"
zomet sr tablet,"diarrhea,nausea,vomiting,flatulence"
zonisep 25 capsule,"dizziness,loss of appetite,memory impairment,drowsiness,impaired concentration"
zoster 800 tablet,"headache,dizziness,vomiting,nausea,fatigue"
zotide injection,"joint pain,injection site reactions (pain, swelling, redness),nausea,leg cramps"
zoxan 500 tablet,"headache,dizziness,gastrointestinal disorder,joint pain,urticaria"
zucapride-m 500 tablet sr,"sore throat,nasal congestion (stuffy nose),runny nose,headache,nausea"
zulu at 4 tablet,"nausea,vomiting,heartburn,stomach pain/epigastric pain,loss of appetite"
zupion -sr tablet,"insomnia (difficulty in sleeping),allergic reaction,impaired concentration,sweating,headache"
zy-q 300 tablet,"blurred vision,headache,diarrhea,abdominal pain,vomiting"
zybend tablet,"vomiting,dizziness,increased liver enzymes,nausea,loss of appetite"
zyloric tablet,"skin rash,diarrhea,nausea"
zyluli 1% cream,"application site reactions (burning, irritation, itching and redness),dry skin,skin peeling,blisters on skin"
zyrcold tablet,"upset stomach,dryness in mouth,fatigue,dizziness,sedation"
zyrova 10 tablet,"muscle pain,weakness,headache,abdominal pain,dizziness"
